Timestamp,Risk Score,Risk Level,Diagnosis,Recommendation,Policy Decision,Payment Status
2026-08-08 09:41:57,0.0274305790662765,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:42:48,0.0596690140664577,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Success
2026-08-08 09:44:41,0.0596690140664577,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:44:42,0.0596690140664577,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:44:45,0.0596690140664577,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:44:58,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:44:59,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:44:59,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:44:59,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:45:07,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:45:08,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:45:08,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:45:29,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:45:30,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:45:30,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:45:30,0.0612480901181697,Low,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 09:45:34,0.1721475720405578,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:45:35,0.1721475720405578,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:45:35,0.1721475720405578,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:48:56,0.1721475720405578,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:48:57,0.1721475720405578,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:48:57,0.1721475720405578,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:48:58,0.1721475720405578,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:48:58,0.1721475720405578,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:49:01,0.2173140197992324,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:52:46,0.2173140197992324,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:52:47,0.2173140197992324,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:52:47,0.2173140197992324,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:52:51,0.2173140197992324,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:52:51,0.2173140197992324,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:52:52,0.2173140197992324,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:52:52,0.2173140197992324,Low,Normal Shopping Behaviour,Proceed To Checkout,Decision Approved,Pending
2026-08-08 09:52:55,0.2173140197992324,Low,Long Delivery Time,Offer Faster Delivery,Decision Approved,Pending
2026-08-08 09:52:55,0.2173140197992324,Low,Long Delivery Time,Offer Faster Delivery,Decision Approved,Pending
2026-08-08 10:08:37,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:12:12,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:12:13,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:12:13,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:12:17,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:12:17,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:12:20,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:12:21,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:12:21,0.1152430474758148,Low,Price Comparison,Proceed To Checkout,Decision Approved,Pending
2026-08-08 10:12:25,0.1152430474758148,Low,"Long Delivery Time, Price Comparison",Offer Faster Delivery,Decision Approved,Failed
2026-08-08 10:16:23,0.2173140197992324,Low,Long Delivery Time,Offer Faster Delivery,Decision Approved,Success
2026-08-08 10:16:38,0.4157829880714416,Medium,"Long Delivery Time, Browsing Only",Offer Faster Delivery,Decision Approved,Pending
2026-08-08 10:16:39,0.4157829880714416,Medium,"Long Delivery Time, Browsing Only",Offer Faster Delivery,Decision Approved,Failed
2026-08-08 10:16:54,0.4157829880714416,Medium,Long Delivery Time,Offer Faster Delivery,Decision Approved,Pending
2026-08-08 10:16:58,0.4157829880714416,Medium,Long Delivery Time,Offer Faster Delivery,Decision Approved,Pending
2026-08-08 10:16:59,0.4157829880714416,Medium,Long Delivery Time,Offer Faster Delivery,Decision Approved,Pending
2026-08-08 10:16:59,0.4157829880714416,Medium,Long Delivery Time,Offer Faster Delivery,Decision Approved,Pending
2026-08-08 10:17:08,0.6653101444244385,Medium,Long Delivery Time,Offer Faster Delivery,Decision Approved,Pending
2026-08-08 10:17:13,0.7492831945419312,Medium,Long Delivery Time,Offer Faster Delivery,Decision Approved,Pending
2026-08-08 10:17:17,0.9004834294319153,High,"Long Delivery Time, Low Customer Engagement",Offer Faster Delivery,Decision Approved,Pending
2026-08-08 10:17:43,0.9004834294319153,High,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 10:19:10,0.9004834294319153,High,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 10:19:11,0.9004834294319153,High,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
2026-08-08 10:19:17,0.6770049333572388,Medium,"Price Comparison, Low Customer Engagement",Offer 5% Coupon,Decision Approved,Pending
2026-08-08 10:19:38,0.9004834294319153,High,Low Customer Engagement,Send Personalized Notification,Decision Approved,Pending
